timestamp,heart_rate,systolic_bp,diastolic_bp,oxygen_sat,temperature
02:04:44,65,129,75,97,36.8
02:04:45,72,116,76,96,36.6
02:04:46,65,115,76,98,36.9
02:04:47,78,121,75,99,37.1
02:04:48,67,113,71,97,36.9
02:04:49,72,115,77,98,36.8
02:04:50,67,111,82,98,36.6
02:04:51,75,130,74,98,36.6
02:04:52,83,126,85,99,37.0
02:04:53,80,115,73,97,37.0
02:04:54,71,130,76,99,36.8
02:04:55,74,116,71,96,36.7
02:04:56,75,116,73,96,37.0
02:04:57,72,114,83,96,36.7
02:04:58,94,107,77,94,36.2
02:04:59,83,118,84,99,36.5
02:05:00,68,117,74,96,37.2
02:05:01,79,120,80,96,36.9
02:05:02,69,110,82,99,36.8
02:05:03,75,113,72,98,36.9
02:05:04,73,121,78,96,37.0
02:05:05,72,123,71,96,37.0
02:05:06,81,130,84,99,36.7
02:05:07,96,127,73,94,36.4
02:05:08,65,125,83,98,37.0
02:05:09,66,122,70,99,36.6
02:05:10,67,128,76,98,37.1
02:05:11,65,105,77,96,36.5
02:05:12,83,129,73,99,36.5
02:05:13,87,126,86,94,36.6
02:05:14,75,128,84,96,36.6
02:05:15,75,116,84,96,36.6
02:05:16,83,127,76,96,36.7
02:05:17,66,124,73,96,36.7
02:05:18,68,122,84,97,36.5
02:05:19,67,123,71,98,37.1
02:05:20,68,116,70,99,37.2
02:05:21,72,129,85,97,37.1
02:05:22,93,104,89,94,36.7
02:05:23,85,124,76,96,36.8
02:05:24,82,115,71,99,37.1
02:05:25,74,110,76,97,36.8
02:05:26,79,112,77,98,36.8
02:05:27,70,124,70,99,36.7
02:05:28,78,113,80,96,36.9
02:05:29,67,126,74,96,37.1
02:05:30,78,136,79,95,37.2
02:05:31,68,127,81,96,36.6
02:05:32,73,114,67,95,36.4
02:05:33,80,121,72,96,37.0
02:05:34,62,105,81,94,37.2
02:05:35,82,125,77,99,36.9
02:05:36,83,136,78,96,37.0
02:05:37,84,128,75,97,36.8
02:05:38,85,138,71,94,37.0
02:05:39,83,116,82,97,37.1
02:05:40,85,113,84,96,37.0
02:05:41,75,128,76,99,36.7
02:05:42,69,114,85,99,36.8
02:05:43,81,116,71,97,36.9
02:05:44,68,114,85,97,37.2
02:05:45,84,123,74,96,37.2
02:05:46,73,119,72,96,36.7
02:05:47,83,111,70,96,37.0
02:05:48,73,122,83,99,37.1
02:05:49,73,114,73,99,37.0
02:05:50,76,122,70,99,37.1
02:05:51,68,130,80,99,36.7
02:05:52,65,121,71,96,36.6
02:05:53,78,120,83,99,37.1
02:05:54,82,125,84,98,36.9
02:05:55,73,112,70,97,36.6
02:05:56,77,112,83,97,36.9
02:05:57,62,114,85,94,37.2
02:05:58,81,123,71,98,36.6
02:05:59,70,125,74,99,37.2
02:06:00,83,124,85,99,37.0
02:06:01,77,123,85,98,36.9
02:06:02,82,114,77,99,37.1
02:06:03,79,131,84,96,36.9
02:06:04,75,119,79,97,37.1
02:06:05,66,110,85,98,37.0
02:06:06,67,120,84,96,37.1
02:06:07,82,128,85,99,36.6
02:06:08,80,115,86,96,37.3
02:06:09,78,120,77,99,36.9
02:06:10,68,119,86,94,37.3
02:06:11,75,117,82,96,36.9
02:06:12,83,114,70,99,36.8
02:06:13,78,111,76,96,36.8
02:06:14,72,118,83,97,36.8
02:06:15,65,115,85,98,36.9
02:06:16,70,123,83,98,36.9
02:06:17,68,114,78,99,36.7
02:06:18,88,104,75,95,37.3
02:06:19,66,115,74,97,36.9
02:06:20,84,125,84,97,36.6
02:06:21,76,112,75,99,37.1
02:06:22,65,118,70,96,36.7
02:06:23,70,112,71,96,36.7
02:06:24,66,126,75,97,36.7
02:06:25,65,124,82,96,37.1
