timestamp,heart_rate,systolic_bp,diastolic_bp,oxygen_sat,temperature
02:04:44,90,107,84,96,37.3
02:04:45,67,117,72,96,36.6
02:04:46,74,127,78,99,36.5
02:04:47,80,123,78,99,36.7
02:04:48,68,132,87,96,36.5
02:04:49,68,123,79,98,37.1
02:04:50,78,115,80,97,36.8
02:04:51,82,115,74,97,37.0
02:04:52,99,104,75,94,36.3
02:04:53,65,127,73,96,36.6
02:04:54,81,110,80,97,36.8
02:04:55,82,118,80,97,36.9
02:04:56,69,122,80,97,36.7
02:04:57,66,122,77,98,37.0
02:04:58,72,121,82,96,36.6
02:04:59,79,128,85,98,36.7
02:05:00,76,126,85,99,36.5
02:05:01,71,129,81,99,36.9
02:05:02,80,130,70,97,37.0
02:05:03,86,121,73,95,37.2
02:05:04,84,125,71,97,36.7
02:05:05,65,126,71,96,36.6
02:05:06,84,117,74,98,36.7
02:05:07,78,116,76,96,37.0
02:05:08,72,119,71,99,37.0
02:05:09,78,119,73,99,36.5
02:05:10,72,125,76,96,37.1
02:05:11,71,128,80,99,36.8
02:05:12,78,114,79,97,36.8
02:05:13,81,118,83,96,37.0
02:05:14,70,124,81,98,36.8
02:05:15,78,111,73,96,36.7
02:05:16,91,113,83,96,36.5
02:05:17,67,124,70,97,37.0
02:05:18,84,122,70,96,37.1
02:05:19,80,119,83,98,36.6
02:05:20,69,128,78,99,37.1
02:05:21,70,128,74,99,37.2
02:05:22,84,129,74,96,37.1
02:05:23,70,119,79,97,36.7
02:05:24,71,117,81,97,37.0
02:05:25,68,111,83,96,36.7
02:05:26,65,129,75,98,36.5
02:05:27,82,115,85,98,37.0
02:05:28,83,130,83,97,36.7
02:05:29,72,120,77,97,37.0
02:05:30,70,122,77,98,36.6
02:05:31,73,119,76,98,36.7
02:05:32,66,115,83,96,37.0
02:05:33,83,121,73,96,36.6
02:05:34,68,113,80,99,36.6
02:05:35,70,114,75,97,36.9
02:05:36,95,107,81,95,36.6
02:05:37,78,127,75,99,36.8
02:05:38,74,112,75,98,36.7
02:05:39,79,111,76,99,36.5
02:05:40,73,125,75,97,36.9
02:05:41,69,119,77,97,36.5
02:05:42,80,118,76,97,36.6
02:05:43,75,116,72,96,37.1
02:05:44,85,111,77,98,36.6
02:05:45,69,113,72,97,36.7
02:05:46,68,116,84,98,36.6
02:05:47,71,121,71,96,36.6
02:05:48,85,112,84,98,37.0
02:05:49,78,117,74,99,37.2
02:05:50,79,119,83,98,37.0
02:05:51,69,101,66,96,37.1
02:05:52,74,122,76,99,36.7
02:05:53,88,107,74,95,37.1
02:05:54,80,127,78,96,36.8
02:05:55,80,128,75,99,37.0
02:05:56,70,117,77,97,36.8
02:05:57,68,126,84,96,36.7
02:05:58,77,123,80,98,36.6
02:05:59,70,120,85,97,36.6
02:06:00,73,130,72,97,36.9
02:06:01,74,115,84,98,36.9
02:06:02,84,121,78,97,36.7
02:06:03,75,116,83,98,36.7
02:06:04,72,126,75,96,36.6
02:06:05,65,111,78,97,37.2
02:06:06,67,128,78,96,36.9
02:06:07,65,121,78,99,36.5
02:06:08,73,121,85,99,36.6
02:06:09,83,113,72,98,37.1
02:06:10,81,110,88,95,37.5
02:06:11,67,108,84,96,36.3
02:06:12,73,112,70,99,36.8
02:06:13,66,126,76,96,37.1
02:06:14,69,129,72,99,36.7
02:06:15,71,128,77,97,37.0
02:06:16,78,119,84,98,36.6
02:06:17,83,128,76,97,36.5
02:06:18,69,113,72,97,37.0
02:06:19,73,125,80,98,36.8
02:06:20,78,114,81,97,36.7
02:06:21,95,111,78,94,36.7
02:06:22,69,125,81,96,36.7
02:06:23,72,124,79,95,36.8
02:06:24,76,110,77,98,36.5
02:06:25,71,128,81,97,37.2
02:06:26,91,119,84,96,36.7
02:06:27,78,114,80,99,36.7
02:06:28,69,123,70,98,36.7
02:06:29,81,124,82,94,37.1
02:06:30,65,117,72,98,36.9
02:06:31,81,125,83,97,36.9
02:06:32,70,107,78,95,36.8
02:06:33,100,139,88,94,37.3
02:06:34,76,116,78,96,37.0
02:06:35,79,130,75,99,36.9
02:06:36,81,109,66,94,36.5
02:06:37,74,122,85,98,37.2
02:06:38,67,110,72,99,37.1
02:06:39,75,125,80,99,37.0
02:06:40,71,114,81,97,36.6
02:06:41,66,115,76,98,37.1
02:06:42,94,140,75,96,36.3
02:06:43,71,128,81,99,37.2
02:06:44,68,125,72,98,37.2
02:06:45,67,119,72,99,36.6
02:06:46,79,122,85,96,36.9
02:06:47,77,129,81,98,37.1
02:06:48,85,116,75,99,36.8
02:06:49,81,130,82,99,37.2
02:06:50,71,111,72,97,36.5
02:06:51,71,116,77,96,36.7
02:06:52,69,130,80,99,37.0
02:06:53,79,112,80,99,37.1
02:06:54,73,112,72,97,36.8
02:06:55,73,124,84,96,36.9
02:06:56,80,116,84,99,37.0
02:06:57,72,125,72,96,37.0
02:06:58,73,126,84,96,36.4
02:06:59,85,112,70,99,36.6
02:07:00,149,125,76,98,36.9
02:07:01,84,113,79,97,36.6
02:07:02,84,129,77,98,36.7
02:07:03,80,119,79,96,36.7
02:07:04,72,129,79,97,37.0
02:07:05,78,130,71,97,37.2
02:07:06,85,123,84,97,36.6
02:07:07,75,127,82,98,36.6
02:07:08,83,113,75,98,36.7
02:07:09,65,139,85,95,37.0
02:07:10,69,118,73,96,37.0
02:07:11,72,125,83,96,36.6
02:07:12,66,130,73,97,37.0
02:07:13,71,129,83,97,37.0
02:07:14,74,128,74,98,37.1
02:07:15,73,114,70,96,36.8
02:07:16,75,122,85,96,37.0
02:07:17,97,116,66,96,36.6
02:07:18,72,118,74,99,37.0
02:07:19,68,126,85,96,36.7
02:07:20,77,128,84,95,37.4
02:07:21,83,125,80,97,36.6
02:07:22,71,112,73,96,36.5
02:07:23,83,117,70,99,36.7
02:07:24,80,111,85,99,36.8
02:07:25,68,122,70,98,36.9
02:07:26,85,110,84,99,36.7
02:07:27,81,122,76,96,36.9
02:07:28,70,128,80,96,36.5
02:07:29,84,123,78,99,37.0
02:07:30,65,112,76,96,36.7
02:07:31,65,128,66,94,36.7
02:07:32,72,128,85,99,36.8
02:07:33,74,115,77,98,36.9
02:07:34,78,114,72,98,37.0
02:07:35,95,119,75,95,36.7
02:07:36,74,115,80,96,36.7
02:07:37,73,113,73,99,37.1
02:07:38,83,125,83,97,36.5
02:07:39,69,105,79,94,36.9
02:07:40,72,120,76,97,36.6
02:07:41,83,130,83,99,37.1
02:07:42,68,122,83,96,37.0
02:07:43,81,125,72,99,37.2
02:07:44,68,127,72,98,37.2
02:07:45,68,126,77,98,36.7
02:07:46,74,122,70,97,36.5
02:07:47,75,126,84,97,37.2
02:07:48,79,129,70,96,36.9
02:07:49,79,117,82,98,37.0
02:07:50,77,123,70,99,36.9
02:07:51,82,120,83,99,37.0
02:07:52,68,128,77,99,36.6
02:07:53,70,122,70,97,36.6
02:07:54,79,125,85,97,36.9
02:07:55,88,100,89,94,36.3
02:07:56,79,116,83,96,36.9
02:07:57,83,110,72,97,36.8
02:07:58,74,130,70,98,37.1
02:07:59,79,127,84,96,36.8
02:08:00,83,122,81,98,37.0
02:08:01,79,115,76,97,37.0
02:08:02,75,130,71,98,36.7
02:08:03,82,112,73,97,36.7
